feature,type
open_z_lag1,crypto
high_z_lag1,crypto
low_z_lag1,crypto
close_z_lag1,crypto
usd_volume_z_lag1,crypto
btc_volume_z_lag1,crypto
v_7d_z_lag1,crypto
v_14d_z_lag1,crypto
v_21d_z_lag1,crypto
v_28d_z_lag1,crypto
v_42d_z_lag1,crypto
momentum_14_z_lag1,crypto
volatility_14_z_lag1,crypto
momentum_21_z_lag1,crypto
volatility_21_z_lag1,crypto
momentum_28_z_lag1,crypto
volatility_28_z_lag1,crypto
momentum_42_z_lag1,crypto
volatility_42_z_lag1,crypto
momentum_90_z_lag1,crypto
volatility_90_z_lag1,crypto
strev_daily_z_lag1,crypto
strev_resamp_z_lag1,crypto
var_14_z_lag1,crypto
var_21_z_lag1,crypto
var_28_z_lag1,crypto
amihud_14_z_lag1,crypto
amihud_21_z_lag1,crypto
amihud_28_z_lag1,crypto
rsi_z_lag1,crypto
macd_z_lag1,crypto
macd_signal_z_lag1,crypto
sentiment_overall_z_lag1,sentiment
sentiment_momentum_z_lag1,sentiment
sentiment_acceleration_z_lag1,sentiment
sentiment_volatility_z_lag1,sentiment
sentiment_momentum_interaction_z_lag1,sentiment
vol_sentiment_divergence_z_lag1,sentiment
risk_adjusted_sentiment_z_lag1,sentiment
sentiment_signal_strength_z_lag1,sentiment
sentiment_price_divergence_z_lag1,sentiment
