month,RIDGE,BOOST,OLS,ENSEMBLE,EW,BTC,MV_OPT,RISK_PARITY_ML,RISK_PARITY_EW,VOL_TARGET_EW,VOL_TARGET_ML
2024-07,-3.3366562367586727,3.3581780833370045,-4.22552049517323,-1.8403458307538423,-5.443603245725292,0.8364787050493927,-2.5196388971621575,-3.765250276452925,-3.8713622128599967,-4.870288852153792,-1.4477348588452843
2024-08,-6.667091411411996,-7.0376412595303695,-6.984621866818919,-9.247391742673017,-9.869591717687953,-5.766899175255258,-2.824472578895909,-13.3782691305517,-18.697735130329885,-7.842149261544796,2.846144965355024
2024-09,11.303716544937913,10.93626211491998,9.252145191457117,11.271400911343044,15.736589608460472,3.0567669191087,19.16301840310528,36.861355986558486,49.18054560024201,11.304350277404772,7.4761024607149285
2024-10,14.66191270542545,39.22114291083347,14.525100067392515,15.939743818581276,0.86094781558963,11.523312472155434,79.54641663937856,14.06036348261579,8.719541422166156,1.4037337124064964,19.08343764189744
2024-11,24.22202113733882,8.41608341563549,20.70668150708137,18.260686973930863,85.35396507237911,38.40514114242617,114.74485641627635,87.71594132551421,87.89962307045514,59.828610952138476,51.89942752649219
2024-12,4.9507247507722285,36.37968020821709,5.082369440102208,5.53314845574262,-4.7897945925672865,-2.0438786059234992,-1.8660428079455338,-13.320854175973674,-17.805112718439474,-2.567568761353456,0.5744342340348263
2025-01,-8.34784005612934,16.631637539999545,-7.375034620805554,-6.318697233401737,-1.2986522681239676,9.82365892727679,-6.538789982253734,1.191245871724811,1.2494041727330707,0.5890188697096788,0.6156258989483909
2025-02,18.22189902137117,17.891883555490075,17.715200037607758,18.260990233580856,-27.10792772702717,-18.468649770055013,29.19670158399612,-29.57882691651783,-38.46782664517975,-16.993883610007376,-1.6318363751334108
2025-03,-1.4973334447057063,3.070740720085907,-0.7592239858022043,-2.9365558900664612,-16.788470932067845,-3.029926890897683,8.63486350230993,-23.235635696636514,-26.977709053009736,-8.845321941130225,-6.422702330439756
2025-04,21.25731324949256,10.331509184160947,21.549094729990248,21.76418572443428,11.91460423047095,8.875448342785553,22.969347173279363,26.629399124241672,30.12044023657985,6.796740449664562,9.42290862146573
2025-05,8.113000878583154,7.5177316671510175,5.642807047109355,8.063396399909873,6.60063336393697,11.744159576234004,24.717697101226754,11.470255788526496,11.269669170324104,4.929106529804961,6.131477370666705
2025-06,9.042433945814388,7.666399222506226,8.0531975179845,6.051060963189414,-8.058330583345851,2.4931613134860697,-10.47838091352904,-15.882419040912609,-12.485535278686333,-6.404889634848332,-14.385622269146548
2025-07,-1.2592265343946751,10.256023990913699,-0.4685504778460525,-0.6578012614904205,16.20447550086115,5.453558957119808,13.06148852492559,15.872597786405995,16.37683987662537,11.953469813120975,10.688429691177914
